timestamp,simple-path,time
2021-06-08 16:22:07.077,/master/welcome,715
2021-06-08 16:22:07.389,/master/welcome,268
2021-06-08 16:22:08.19,/master/sign-in,626
2021-06-08 16:22:09.675,/master/welcome,628
2021-06-08 16:22:11.453,/master/welcome,254
2021-06-08 16:22:12.234,/master/welcome,625
2021-06-08 16:22:12.598,/master/welcome,222
2021-06-08 16:22:12.85,/master/welcome,204
2021-06-08 16:22:13.638,/master/sign-in,642
2021-06-08 16:22:15.01,/master/welcome,599
2021-06-08 16:22:15.656,/master/welcome,261
2021-06-08 16:22:16.415,/master/welcome,616
