timestamp,test-class,test-method,time,description,result
2021-06-08 16:00:28.68,acme.testing.manager.task.ManagerTaskListTest,listManagerNegative,30647,"[1] ",Cannot find 'By.xpath: //div[@id='mainMenu']/ul/li/a[normalize-space()='Sign out']'
2021-06-08 16:00:59.829,acme.testing.manager.task.ManagerTaskListTest,listManagerNegative,30745,"[2] ",Cannot find 'By.xpath: //div[@id='mainMenu']/ul/li/a[normalize-space()='Sign out']'
